Model,Horizon,Date,RankIC,N_Assets
NBEATS-NoEmb,5,2025-06-13,0.23088890191023087,160
NBEATS-NoEmb,5,2025-07-14,-0.30912655947986695,160
NBEATS-NoEmb,5,2025-08-12,-0.08745458806984649,160
NBEATS-NoEmb,5,2025-09-10,-0.07116781905543185,160
NBEATS-NoEmb,5,2025-10-09,-0.02064338450720731,160
NBEATS-NoEmb,5,2025-11-07,0.08328547990155866,160
NBEATS-NoEmb,5,2025-12-08,0.028676901441462555,160
NBEATS-NoEmb,5,2026-01-06,-0.07398628852689558,160
NBEATS-NoEmb,5,2026-02-04,-0.19613559123403257,160
NBEATS-NoEmb,5,2026-03-05,-0.24694128676901442,160
NBEATS-NoEmb,5,2026-04-03,-0.10459392945036915,160
PatchTST,1,2024-11-20,-0.12128794093519278,160
PatchTST,1,2024-12-19,0.014818938239774992,160
PatchTST,1,2025-01-17,0.045556071168726786,160
PatchTST,1,2025-02-17,0.1610512129380054,160
PatchTST,1,2025-03-18,-0.3517930387905777,160
PatchTST,1,2025-04-16,0.36414801359428106,160
PatchTST,1,2025-05-15,-0.09601546935427166,160
PatchTST,1,2025-06-13,-0.05802472752841908,160
PatchTST,1,2025-07-14,0.19903609515996717,160
PatchTST,1,2025-08-12,-0.34637290519160907,160
PatchTST,1,2025-09-10,-0.056489511309035505,160
PatchTST,1,2025-10-09,-0.13328547990155865,160
PatchTST,1,2025-11-07,-0.5003310676198288,160
PatchTST,1,2025-12-08,-0.021847533106761984,160
PatchTST,1,2026-01-06,-0.03765088480018751,160
PatchTST,1,2026-02-04,0.02366401031290285,160
PatchTST,1,2026-03-05,0.1448318293683347,160
PatchTST,1,2026-04-03,-0.1459744521270362,160
PatchTST,5,2024-11-20,-0.08835110746513535,160
PatchTST,5,2024-12-19,0.028419078870268368,160
PatchTST,5,2025-01-17,-0.18555900621118013,160
PatchTST,5,2025-02-17,0.19821868041720378,160
PatchTST,5,2025-03-18,0.3769864057189734,160
PatchTST,5,2025-04-16,0.16108051095745926,160
PatchTST,5,2025-05-15,-0.09484061877417087,160
PatchTST,5,2025-06-13,0.12903433727879995,160
PatchTST,5,2025-07-14,0.2999064660044649,160
PatchTST,5,2025-08-12,0.29367455759990624,160
PatchTST,5,2025-09-10,0.13584026719793743,160
PatchTST,5,2025-10-09,0.03983944685339271,160
PatchTST,5,2025-11-07,-0.06680827376069377,160
PatchTST,5,2025-12-08,0.06904957224891597,160
PatchTST,5,2026-01-06,0.008713230985585373,160
PatchTST,5,2026-02-04,-0.31441462557131133,160
PatchTST,5,2026-03-05,0.1496396343607172,160
PatchTST,5,2026-04-03,0.11917848353451307,160
